id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
23305973,vist_1,20166250,31577810,2495586,2332835,37.18,58.22,4.6,4.3
23463367,vist_1,15407964,27541183,2487540,1851573,33.91,60.61,5.47,4.08
23755561,vist_1,16619905,29889606,2331490,2127659,34.03,61.2,4.77,4.36
23857501,vist_1,12257373,22293458,2726042,1467264,32.88,59.81,7.31,3.94
23857501,vist_2,21547298,28452222,2620159,2202185,40.95,54.07,4.98,4.19
23939242,vist_2,26018467,37215027,3023672,2630032,39.27,56.17,4.56,3.97
24429342,vist_1,18793494,31323565,2454353,2291818,35.75,59.58,4.67,4.36
24667990,vist_1,16441648,25123538,2271503,1874329,37.51,57.31,5.18,4.28
24667990,vist_2,20870057,37093288,3151093,2629436,34.15,60.69,5.16,4.3
25163916,vist_1,17163427,24104116,2414927,1867311,39.29,55.18,5.53,4.27
25273939,vist_2,16126264,22961483,4163894,1632887,37.28,53.09,9.63,3.78
25381468,vist_2,18863254,29155706,2412408,2032957,37.4,57.81,4.78,4.03
26266973,vist_1,17561987,30561780,2956774,2077564,34.38,59.83,5.79,4.07
26502972,vist_1,15469800,25006209,1884050,1826451,36.52,59.03,4.45,4.31
26885542,vist_2,6109034,20161600,9113222,732682,17.27,56.98,25.76,2.07
27754621,vist_2,16671529,25931105,3526403,1852965,36.14,56.21,7.64,4.02
27778885,vist_2,11731809,37836665,15841834,1368384,17.94,57.85,24.22,2.09
27998153,vist_1,285996,4176705,2032949,83756,4.4,64.3,31.3,1.29
28037299,vist_2,16069555,22374769,1693118,1735577,40.04,55.75,4.22,4.32
28995372,vist_2,15081548,20952222,2043405,1550761,39.61,55.03,5.37,4.07
29061736,vist_1,20939892,33474446,2439746,2414942,36.83,58.88,4.29,4.25
29160686,vist_1,17054783,28429481,2072959,1964261,35.86,59.78,4.36,4.13
29160686,vist_2,17699013,27370092,3070845,2002987,36.77,56.86,6.38,4.16
29263183,vist_1,22024268,33585841,2467509,2564295,37.92,57.83,4.25,4.42
29263183,vist_2,22410347,40157247,2973231,2662985,34.19,61.27,4.54,4.06
30181119,vist_1,14750580,22266201,2410123,1708661,37.41,56.47,6.11,4.33
31008782,vist_1,14907242,33789580,4078180,1927062,28.25,64.03,7.73,3.65
